44.56533008,-40.30467935,3.2,tetEri,Acamar
24.42852283,-57.23675281,0.5,alfEri,Achernar
186.6495634,-63.09909286,1.4,alfCru,Acrux
104.6564532,-28.97208616,1.51,epsCMa,Adhara
68.98016279,+16.50930235,0.85,alfTau,Aldebaran
193.50729,+55.9598229569,1.76,epsUMa,Alioth
206.8851573,+49.31326673,1.85,etaUMa,Alkaid
84.05338894,-1.20191914,1.7,epsOri,Alnilam
141.8968446,-8.65859953,2,alfHya,Alphard
233.67195,+26.71469278,2.24,alfCrB,Alphecca
2.09691619,+29.09043112,2.06,alfAnd,Alpheratz
297.6958273,+08.86832120,0.77,alfAql,Altair
6.57104752,-42.30598719,2.37,alfPhe,Ankaa
247.3519154,-26.43200261,1.09,alfSco,Antares
213.9153003,+19.18240916,-0.04,alfBoo,Arcturus
252.1662295,-69.02771185,1.92,alfTrA,Atria
125.6284802,-59.50948419,2.4,epsCar,Avior
81.28276356,+06.34970326,1.64,gamOri,Bellatrix
88.79293899,+07.40706400,0.58,alfOri,Betelgeuse
95.98795783,-52.69566138,-0.72,alfCar,Canopus
79.17232794,+45.99799147,0.71,alfAur,Capella
310.3579798,+45.28033881,1.25,alfCyg,Deneb
177.2649098,+14.57205806,2.14,betLeo,Denebola
10.89737874,-17.98660632,2.04,betCet,Diphda
165.9319647,+61.75103469,1.87,alfUMa,Dubhe
81.57297133,+28.60745172,1.68,betTau,Elnath
269.1515412,+51.48889562,2.23,gamDra,Eltanin
326.0464839,+09.8750086533,2.4,epsPeg,Enif
344.4126927,-29.62223703,1.16,alfPsA,Fomalhaut
187.7914984,-57.11321346,1.63,gamCru,Gacrux
183.951545,-17.54193046,2.8,gamCrv,Gienah
210.9558556,-60.37303516,0.6,betCen,Hadar
31.7933571,+23.46241755,2,alfAri,Hamal
276.0429934,-34.38461649,1.8,epsSgr,Kaus Australis
222.6763575,+74.15550394,2.08,betUMi,Kochab
346.1902227,+15.20526715,2.49,alfPeg,Markab
45.5698878,+04.08973877,2.5,alfCet,Menkar
211.6706147,-36.36995474,2.06,tetCen,Menkent
138.2999061,-69.7172076,1.7,betCar,Miaplacidus
51.08070872,+49.8611792931,1.82,alfPer,Mirfak
283.8163604,-26.29672411,2.06,sigSgr,Nunki
306.4119044,-56.73508973,1.91,alfPav,Peacock
37.95456067,+89.26410897,2.01,alfUMi,Polaris
116.3289578,+28.02619889,1.15,betGem,Pollux
114.8254979,+05.22498756,0.34,alfCMi,Procyon
263.7336227,+12.56003739,2.1,alfOph,Rasalhague
152.0929624,+11.96720878,1.35,alfLeo,Regulus
78.63446707,-8.20163836,0.12,betOri,Rigel
257.5945287,-15.72490664,2.43,etaOph,Sabik
10.12683778,+56.5373311583,2.25,alfCas,Schedar
263.4021672,-37.10382355,1.62,lamSco,Shaula
101.2871553,-16.71611586,-1.47,alfCMa,Sirius
201.2982474,-11.16131949,1.04,alfVir,Spica
136.9989911,-43.43259091,2.23,lamVel,Suhail
279.2347348,+38.78368896,0.03,alfLyr,Vega
222.7196379,-16.04177652,3.28,f02Lib,Zubenelgenubi
